,long_covid,long_covid,population,population,"Crude rate per 100,000 population","Crude rate per 100,000 population"
sex,F,M,F,M,F,M
date,,,,,,
2020-11-02,,,,,,
2020-11-09,,,,,,
2020-11-16,,,,,,
2020-11-23,,,,,,
2020-11-30,7.0,,12002714.0,,0.05832014326093249,
2020-12-07,21.0,6.0,12004048.0,12007938.0,0.17494098657386242,0.04996694686464903
2020-12-14,29.0,21.0,12005542.0,12009713.0,0.24155510846574024,0.17485846664279156
2020-12-21,27.0,25.0,12007277.0,12011630.0,0.22486363894161848,0.2081316191058166
2020-12-28,21.0,19.0,12007595.0,12012331.0,0.17488930964110633,0.15817079965578704
2021-01-04,63.0,54.0,12009400.0,12014728.0,0.5245890718936832,0.4494483770252643
2021-01-11,85.0,49.0,12012508.0,12017592.0,0.7075957826625381,0.4077355929540627
2021-01-18,75.0,57.0,12014309.0,12019154.0,0.6242556271858831,0.47424302908507543
2021-01-25,149.0,74.0,12007876.0,12020710.0,1.240852253970644,0.6156042363554233
2021-02-01,152.0,98.0,12008773.0,12022254.0,1.2657413042947852,0.8151549617900271
2021-02-08,202.0,110.0,12008150.0,12023350.0,1.6821908453841765,0.9148864501158163
2021-02-15,192.0,124.0,12008924.0,12024260.0,1.5988110175399561,1.0312484926307315
2021-02-22,302.0,199.0,12010742.0,12026652.0,2.5144158454157117,1.6546583371664867
2021-03-01,168.0,85.0,12010788.0,12027694.0,1.3987425304651118,0.706702382019363
