,long_covid,long_covid,long_covid,long_covid,long_covid,population,population,population,population,population,"Crude rate per 100,000 population","Crude rate per 100,000 population","Crude rate per 100,000 population","Crude rate per 100,000 population","Crude rate per 100,000 population"
age_group,0-49,50-59,60-69,70-79,80+,0-49,50-59,60-69,70-79,80+,0-49,50-59,60-69,70-79,80+
date,,,,,,,,,,,,,,,
2020-11-02,0.0,,0.0,,0.0,14839551.0,,2577618.0,,1213035.0,0.0,,0.0,,0.0
2020-11-09,,,0.0,0.0,0.0,,,2577196.0,2077843.0,1210547.0,,,0.0,0.0,0.0
2020-11-16,,,,0.0,0.0,,,,2076668.0,1207541.0,,,,0.0,0.0
2020-11-23,,0.0,0.0,,0.0,,3285607.0,2576165.0,,1204679.0,,0.0,0.0,,0.0
2020-11-30,,,,0.0,0.0,,,,2074387.0,1201799.0,,,,0.0,0.0
2020-12-07,13.0,7.0,,,0.0,14850371.0,3289625.0,,,1209728.0,0.08753990051831027,0.21279021165026407,,,0.0
2020-12-14,20.0,14.0,12.0,,,14858094.0,3289593.0,2580945.0,,,0.13460676719369255,0.4255845631967237,0.4649459790890546,,
2020-12-21,20.0,19.0,8.0,,0.0,14865863.0,3289694.0,2580625.0,,1203878.0,0.1345364207917159,0.5775613172532156,0.310002421893921,,0.0
2020-12-28,19.0,14.0,,,,14870227.0,3289652.0,,,,0.12777209117251537,0.4255769303257609,,,
2021-01-04,38.0,34.0,24.0,13.0,8.0,14848043.0,3293327.0,2586782.0,2085243.0,1210733.0,0.2559259829729749,1.0323906493342447,0.9277936834259709,0.6234285404626704,0.6607567481847774
2021-01-11,56.0,35.0,18.0,20.0,,14859248.0,3293792.0,2586569.0,2083875.0,,0.37686967738878846,1.062605046098843,0.6959025643622884,0.9597504648791315,
2021-01-18,48.0,35.0,24.0,14.0,11.0,14868800.0,3294155.0,2586207.0,2082518.0,1201783.0,0.3228236306897665,1.0624879521455426,0.9279999628800014,0.6722630968855972,0.9153066735009564
2021-01-25,109.0,64.0,28.0,13.0,9.0,14871191.0,3293897.0,2585701.0,2080861.0,1196936.0,0.7329607964822724,1.9429872883092583,1.0828784921381087,0.6247413931060267,0.7519199021501568
2021-02-01,135.0,64.0,37.0,10.0,,14853532.0,3297409.0,2591068.0,2086667.0,,0.908874737671821,1.9409178539877825,1.4279825925062561,0.47923315028224434,
2021-02-08,160.0,90.0,33.0,19.0,10.0,14860995.0,3297688.0,2590330.0,2084463.0,1198024.0,1.0766439259282437,2.7291848106916117,1.273968953762648,0.9115057451247636,0.8347078188750809
2021-02-15,169.0,93.0,37.0,15.0,,14869091.0,3297913.0,2589529.0,2082452.0,,1.1365859553889341,2.819965232557681,1.4288312662264064,0.7203047177077792,
2021-02-22,295.0,125.0,57.0,18.0,6.0,14878118.0,3298414.0,2589023.0,2081055.0,1190784.0,1.9827776604540979,3.7897001407343045,2.201602689508745,0.8649459048415347,0.5038697194453402
2021-03-01,127.0,75.0,39.0,10.0,,14853423.0,3301605.0,2595828.0,2089041.0,,0.8550217683829512,2.271622438177795,1.502410791470005,0.47868854656275295,
